title,dod,name,born,awards,Occupation,Filmography
Meera Jasmine,,Jasmine Mary Joseph,,,,
Meera Nandan,,Meera Nandakumar,26-11-1990,,,
Meera Vasudevan,,Meera Vasudevan,29-01-1982,,,
Meghana Raj,,Meghana Sunder Raj,3/5/1990,,,
Meghna Naidu,,,19-09-1980,,"Actress,Dancer",
Menaka (actress),,Padmavathi,,,,
Michael Thangadurai,,,23-08-1983,,"Film actor,Dancer",
Milind Soman,,,4/11/1965,,"Actor,Model (person)",
Mithra Kurian,,Dalma Kurian,15-05-1989,,,
Mithun Tejasvi,,Mithun Tejasvi,15-12-1979,,Actor,
Miya George,,Gimi George,28-01-1992,,,
Mohan (actor),,Mohan Rao,,,,
Mohanlal,,Mohanlal Viswanathan Nair,,,Theatre actor,
Mohini (Tamil actress),,,9/6/1978,,Film actress,
Monal,,,,,,
Monal (actress),,,,,Film actor,
Monica (actress),,Rekha,25-08-1987,,,
Monisha Unni,5/12/1992,,24-01-1971,,,
Moon Moon Sen,,Moon Moon Sen,,,,
Mukesh Tiwari,,,,,Actor,
Mumtaz,,,,,,
Murali (Tamil actor),8/9/2010,,19-05-1964,,,
Murali (Tamil actor),8/9/2010,,19-05-1964,,,
N. Santhanam,,,21-01-1980,,,
Nadhiya,,Zareena,24-10-1966,,,
Naga Chaitanya,,Naga Chaitanya Akkineni,23-11-1986,,Actor,
Nagendra Prasad,,Nagendra Prasad Sundaram,,,"Actor,Choreographer",
Nagesh,31-01-2009,Nageswaran Ceiyur Krishna Gundu Rao,27-09-1933,,,
Nagma,,Nandita Arvind Morarji,25-12-1974,,,
Nakul (actor),,Nakul Jaidev,15-06-1984,,"Film actor,Playback singer",
Namitha,,,10/5/1981,,,
Nana Patekar,,Vishwanath Patekar,1/1/1951,,"Actor,Filmmaker",
Nandha Durairaj,,Govind Sendrampalayam Durairaj,,,Film actor,
Nandita Das,,,7/11/1969,,,
Nani (actor),,Naveen Babu Ghanta,24-02-1984,,,
Napoleon (actor),,Kumaresan Duraisamy,2/12/1963,,,
Narain (actor),,Sunil Kumar,7/10/1980,,,
Nassar,,Mehaboob Nasser,5/3/1958,,,
Navdeep,,Navdeep Pallapolu,26-01-1986,,Actor,
Navya Nair,,Dhanya Veena,14-10-1985,,,
Nayantara,,Diana Mariam Kurian,18-11-1984,,,
Nazriya Nazim,,,20-12-1994,,"Film actress,Dancer,Anchor,Model (person),Playback singer",
Nedumudi Venu,,K. Venugopal,22-05-1948,,,
Neetu Chandra,,,20-06-1984,,"Actress,Model (person)",
Nikita Thukral,,,,,,
Nisha Agarwal,,,,,"Model (person),Actress",
Nisha Noor,,,,,,
Nithin Sathya,,,9/1/1980,,,
Nizhalgal Ravi,,Ravichandran Samanna,16-04-1956,,,
Oviya,,Helen Nelson,29-04-1991,,Actress,
P. S. Keerthana,,,,,Film actress,
P. Vijay,,,20-10-1974,,,
Padmapriya Janakiraman,,Padmapriya Janakiraman,28-02-1980,,,
Padmini (actress),24-09-2006,Padmini,12/6/1932,,,
Paloma Rao,,,,,,
Pandari Bai,,Geetha,,,,
Pandiarajan,,Pandiarajan Rathnam,2/10/1959,,"Film actor,Film director,Screenwriter",
Paravai Muniyamma,,Muniyamma Karuppiah,,,,
Parvathy (Indian actress),,Parvathy Thiruvoth Kottuvata,,,"Actress,Dancer",
Pasupathy,,Pasupathy Ramasaamy solai,5/9/1969,,,
Pawan (actor),,,,,Film actor,
Perarasu,,,8/1/1976,,,
Piaa Bajpai,,,6/1/1989,,,
Ponnambalam (actor),,,11/11/1963,,,
Ponvannan,,,12/1/1952,,Actor,
Pooja Batra,,,27-10-1973,,,
Pooja Gandhi,,Pooja Gandhi,,,,
Pooja Hegde,,,,,,
Pooja Kumar,,,,,"Actress,Model (person),Television presenter,Television producer",
Pooja Umashankar,,Pooja Gauthami Umashankar,,,"Model (person),Actress",
Poonam Bajwa,,Poonam Amarjeet Singh Bajwa,5/4/1991,,,
Poornima Bhagyaraj,,Poornima Jayaram,18-07-1960,,,
Poornitha,,Kalyani,23-11-1990,,Actress,
Prabhu (actor),,Prabhu Ganesan,31-12-1956,,"Film actor,Film producer",
Prabhu Deva,,Prabhu Deva Sundaram,3/4/1973,,,
Pradeep Rawat (actor),,,21-01-1952,,,
Prakash Raj,,Prakash Rai,26-03-1965,,,
