"","title","dod","name","born","awards","Occupation","Filmography"
"42","Arya (actor)","","Jamshad Ceethirakath","",Na,"","Maya_Kannadi,Madrasapattinam,Ullam_Ketkumae,Oram_Po,Oru_Kalluriyin_Kathai,Double_Barrel_(film),Kalabha_Kadhalan,Arrambam,Settai,Raja_Rani_(2013_film),Sarvam,Vattaram,Varudu,Urumi_(film),Arinthum_Ariyamalum,Pattiyal,Irandaam_Ulagam,Chikku_Bukku,Vettai,Yatchan,Size_Zero_(film),Vasuvum_Saravananum_Onna_Padichavanga,Purampokku_Engira_Podhuvudamai,Meaghamann,Bangalore_Days_(2015_film)"
"43","Ashima Bhalla","","","",Na,"Actress","Daddy_(2001_film),Alaudin,Sudesi,Ramanaa_(film),Cheppave_Chirugali,Pyaar_Zindagi_Hai"
"44","Ashish Vidyarthi","","","",Na,"","Bagavathi,Neel_Rajar_Deshe,Satyameba_Jayate,Kalishankar_(2007_Oriya_film),C.I.D._Moosa,Gudumba_Shankar,Madhu_(film),Konchem_Koththaga,Veera_(2013_film),Ghilli,Drohkaal,Suntaragaali,Theekuchi,Yodha_(2009_film),Athanokkade,Sreeram,Mr._Black_Mr._White,Vallakottai_(film),Baadshah_(2013_film),Pape_Naa_Pranam,Anegan,Chess_(2006_film),Shakti_(2012_film),Kuruvi,Ontari_(film),Dum_(2003_Tamil_film),Uthamaputhiran_(2010_film),Cheenti_Cheenti_Bang_Bang,Chirutha,Is_Raat_Ki_Subah_Nahin,Athidhi_(film),Janumada_Gelathi,Solla_Solla_Inikkum,Ellam_Avan_Seyal,Gosainbaganer_Bhoot,Jole_Jongole,Porki,Narasimhudu,Baba_(2002_film),Dhill,Dam_999,Dhanam_(2008_film),Mon_Bole_Priya_Priya,Zindagi_Khoobsoorat_Hai,Gharshane,Rahasya_(2014_film),Bichhoo,Manikanda,Challenge_2,Aaru_(film),Benaam_(1999_film),Minugurulu,Madatha_Kaja,Rahasya,Khuda_Kasam,Kalishankar_(2007_Bengali_film),Kya_Yehi_Pyaar_Hai,Yamraaj_(film),Malaikottai,Awara_(2012_film),Fighter_(2011_film),Khokababu,Avatarachi_Goshta,Nuvvekadunte_Nenakkadunta,En_Vazhi_Thani_Vazhi_(2015_film)"
"45","Ashok (actor)","","Ashok Kumar Balakrishnan","",Na,"","Pidichirukku,Ula_(film),Yuga_(film),Kozhi_Koovuthu_(2012_film)"
"46","Ashok Selvan","","Ashok Selvan","8/11/1989",Na,"Film actor","Pizza_II:_Villa,Thegidi,Savaale_Samaali,Pirai_Thaediya_Naatkal"
"47","Ashwin Kakumanu","","Ashwin Kakumanu","",Na,"Film actor","Zero_(2015_film)"
"48","Asin","","Asin Thottumkal","26-10-1985",Na,"Actor,Model (person)","Narendran_Makan_Jayakanthan_Vaka,All_Is_Well_(film),Varalaru,Pokkiri,London_Dreams,Ghajini_(2005_film),Sivakasi_(film),Aalwar,Ready_(2011_film),Bol_Bachchan,Khiladi_786,Kaavalan,Pocket_Maar,Ghajini_(2008_film)"
"49","Atharvaa","","Atharvaa Murali","7/5/1989",Na,"Film actor","Irumbu_Kuthirai,Eetti,Kanithan,Chandi_Veeran"
"50","Atul Kulkarni","","अतुल कुलकर्णी","10/9/1965",Na,"Actor","Page_3_(film),Khakee,D-17_(film),Padikkadavan_(2009_film),Alibaba_Aur_41_Chor,Manmadhan_(film),Bhet,Mango_Souffl%C3%A9,88_Antop_Hill,Mythri_(2015_film),@Andheri,Thalappavu,Vallinam,Edegarike,Gauri:_The_Unborn,Rang_De_Basanti,Kedi_(2006_film),Valu_(film),Hey_Ram,Dum_(2003_Hindi_film),Premachi_Goshta,Ugramm,Run_(2002_film),Raam_(2006_film),AK_56,Allah_Ke_Banday,Chaalis_Chauraasi,Gowri_(film),High_Tension_(TV_series),Mango_Soufflé,Satyameva_Jayate_(film)"
"51","Azhagam Perumal","","","",Na,"","Taramani_(film),Kattradhu_Thamizh,Valiyavan"
