"","title","dod","name","born","awards","Occupation","Filmography"
"428","S. Ve. Shekher","","Sattanathapuram Venkataraman Sekhar","",Na,"","Varumayin_Niram_Sivappu,Thangamani_Rangamani,Gopurangal_Saivathillai,Kandha_Kadamba_Kathir_Vela,Poove_Poochooda_Vaa,Chidambara_Rahasiyam_(film),Dhinamthorum_Deepavali"
"429","Sadha","","Sadaf Mohmad Sayed","",Na,"","Jayam_(2002_film),Jayam_(2003_film),Mohini_9886788888,Monalisa_(film),Khallballi!,Huduga_Hudugi,Chukkallo_Chandrudu,Varnajalam,Mallikarjuna_(film),Praanam,Classmates_(2007_film),Arakshaka,Priyasakhi,Shankar_Dada_Zindabad,Unnale_Unnale,A_Aa_E_Ee_(2009_Telugu_film),Donga_Dongadi,Puli_Vesham,Madha_Gaja_Raja,Mythri,Thirupathi_(2006_Tamil_film),Eli_(2015_film),Aethirree"
"430","Sai Kumar (Tollywood actor)","","Pudipeddi Saikumar","",Na,"","Yevadu"
"431","Sajith Raj","","","28-04-1983",Na,"","Kattuviriyan"
"432","Sakshi Shivanand","","Sakshi Shivanand","",Na,"Actress","Seetharama_Raju,Thandege_Thakka_Maga,Vaanchinathan,Vedham,Galate_Aliyandru,Mappillai_Gounder,Jahan_Jaaeyega_Hamen_Paaeyega,Aapko_Pehle_Bhi_Kahin_Dekha_Hai,Yuvaraju,Pelli_Sambandham,Pudhayal,Samudram_(1999_film),Meri_Warrant,Vamshoddharakudu,Simharasi"
"433","Saloni Aswani","","Vandani Aswani","",Na,"Actress,Model (person)","Madurai_Veeran_(film),Saawan..._The_Love_Season,Adhinayakudu,Oka_Oorilo,Chukkallo_Chandrudu,Race_Gurram,Bodyguard_(2012_film),Lakshmi_(2013_film),Dil_Pardesi_Ho_Gayaa,Mr._Theertha,Boss_(2006_film),Shivam_(2015_film)"
"434","Samantha Ruth Prabhu","","Samantha Ruth Prabhu","28-04-1987",Na,"","Moscowin_Kavery,Ramayya_Vasthavayya,Baana_Kaathadi,10_Enradhukulla,Ekk_Deewana_Tha,Yeto_Vellipoyindhi_Manasu,Seethamma_Vakitlo_Sirimalle_Chettu,Autonagar_Surya,Eega,Attarintiki_Daredi,Anjaan_(2014_film),Neethaane_En_Ponvasantham,Rabhasa,Dookudu,Kaththi,Assi_Nabbe_Poorey_Sau,Ye_Maaya_Chesave,Manam_(film),Brindavanam_(film),S/O_Satyamurthy,24_(2015_film),Untitled_Velraj_Project"
"435","Sameera Reddy","","","",Na,"Actress","One_Two_Three,Darna_Mana_Hai,Race_(2008_film),Fool_&_Final,De_Dana_Dan,Chakravyuh,Musafir_(2004_film),Ashok_(film),Plan_(film),Narasimhudu,Kaalpurush,Vaaranam_Aayiram,Ami,_Yasin_Ar_Amar_Madhubala,Nadunisi_Naaygal,Tezz,Varadhanayaka,Taxi_No._9211,Maine_Dil_Tujhko_Diya,Asal_(film),Vettai"
"436","Samiksha Bhatt","","","",Na,"Actress,Model (person)","Nadaniyaan,Sankat_Mochan_Hanumaan_(TV_Series)"
"437","Sampath Raj","","","15-01-1976",Na,"","Pidichirukku,Aaranya_Kaandam,Kili_Poyi,Vaamanan,Aanmai_Thavarael,Varnam_(2011_film),The_Thriller,Bhavani_IPS,Sagar_Alias_Jacky_Reloaded,Kandhakottai,Ethiri_En_3,Kadhalil_Vizhunthen,Arai_En_305-il_Kadavul,Saroja_(film),Mariyadhai,Chennai_600028,Jilla,Yavarum_Nalam,Neranja_Manasu,Asal_(film),Seval,Run_Raja_Run,Goa_(2010_film),Srimanthudu"
"438","Samuthirakani","","","26-04-1973",Na,"Film director,Film actor,Screenwriter,Voice actor","Masss,Subramaniapuram,The_Reporter_(film),Shikkar,D_Company_(film),Kaaval,Visaranai,Kaadu_(2014_film)"
"439","Samvrutha Sunil","","Samvritha Sunil","",Na,"Film actress","Ivar_Vivahitharayal,Diamond_Necklace_(film),Evadaithe_Nakenti,Three_Kings_(2011_film),Thirakkatha,Arike,Vairam:_Fight_for_Justice,Boomi_Malayalam,Chekavar_(film),Swapna_Sanchari,Neelathamara_(2009_film),Chocolate_(2007_film),Mallu_Singh,Nerariyan_CBI,Uyir,Arabikkatha,Vaasthavam,Manikyakkallu,Ayalum_Njanum_Thammil,Happy_Husbands_(2010_film),Janmam"
"440","Samyuktha Varma","","സംയുക്ത വർമ്മ","",Na,"","Narendran_Makan_Jayakanthan_Vaka,One_Man_Show_(film),Chandranudikkunna_Dikhil,Angene_Oru_Avadhikkalathu,Life_Is_Beautiful_(2000_film),Madhuranombarakattu,Meghamalhar,Nariman_(film),Saivar_Thirumeni,Nadan_Pennum_Natupramaniyum"
"441","Sana Khan","","","21-08-1987",Na,"","Thambikku_Indha_Ooru,Silambattam_(film),Kalyanram_Kathi,Aayiram_Vilakku,Mr._Nookayya,Kool...Sakkath_Hot_Maga"
"442","Sandhya (actress)","","Revathy","27-09-1988",Na,"","Odipolama,Annavaram_(film),Koodal_Nagar,Masters_(film),D-17_(film),Dishyum,Traffic_(2011_film),Three_Kings_(2011_film),Ya_Ya_(film),Benki_Birugali,Mahesh,_Saranya_Matrum_Palar,Cycle_(film),Manjal_Veiyil,Aptharakshaka,The_Hit_List_(2012_Indian_film),Thoondil,Alice_in_Wonderland_(2005_film),Kannamoochi_Yenada,College_Days,Kaadhal,Veendum_Kannur,Vida_Parayaanmathram,Kaththukkutti"
"443","Sangeetha (actress)","","","",Na,"","Kushi_Kushiga,Aayudham_(2003_film)"
"444","Sanghavi","","Kavya Ramesh","",Na,"","Mrugaraju,Anatharu,Seetharama_Raju,Sindhooram,Lucky_Man_(film),Goppinti_Alludu,Muthukulikka_Vaariyala,Iyer_IPS,Vishnu_(1995_film),Samarasimha_Reddy,Nattamai,Suryavamsam_(1998_film),Amaravathi_(1993_film),Sri_Raja_Rajeshwari,Anthimanthaarai,Nilaave_Vaa,Mannava_(film),Sandade_Sandadi,Diggajaru,Aahaa...!,Pudhu_Nilavu"
"445","Sangita","","Sangita","",Na,"","Yaare_Neenu_Cheluve,Rathna,Poove_Unakkaga,Chinthavishtayaya_Shyamala,Crime_File,Pallavur_Devanarayanan,Vazhunnor,Yare_Nee_Abhimani,Amman_Kovil_Vaasalile,Namma_Ooru_Raasa,Saaphalyam,Punniyavathi,Chithrathoonukal"
"446","Sanjana Singh","","","",Na,"Film actor","Ragalaipuram,Rendavathu_Padam"
"447","Sanjjanaa","","Archana Galrani","",Na,"Actress,Model (person)","Nenem…Chinna_Pillana%3F,Huduga_Hudugi,Thavam,Yamaho_Yama,Ondu_Kshanadalli,Sagar_(film),Agraja,Mandya_to_Mumbai,Ganda_Hendathi,Nenem%E2%80%A6Chinna_Pillana%3F"
"448","Santhoshi","","Santhoshi Krishna Moorthy","31-03-1987",Na,"","Ninaithale,Kadhal_Samrajyam,Bala_(2002_film),Aasai_Aasaiyai,Yuga_(film),Ilavarasi_(TV_series)"
"449","Sanusha","","","",Na,"Actress","Eththan,Sapthamashree_Thaskaraha,Genius_(2012_film),Parimala_Thiraiyarangam,Kutteem_Kolum,Renigunta_(film),Idiots_(film),Nandhi"
"450","Sara Arjun","","","",Na,"Actress","Saivam,Chithirayil_Nilachoru,Dagudumootha_Dandakor"
"451","Sarah-Jane Dias","","","3/12/1983",Na,"Actress,Musician","Theeradha_Vilaiyattu_Pillai,Panjaa,O_Teri"
"452","Saranya Bhagyaraj","","","",Na,"","Parijatham"
"453","Saranya Mohan","","","19-02-1989",Na,"","Vennila_Kabadi_Kuzhu,Velayudham,Bheemili_Kabaddi_Jattu,Kalyanram_Kathi,Mahesh,_Saranya_Matrum_Palar,Yaaradi_Nee_Mohini,Eeram,Azhagarsamiyin_Kuthirai,A_Aa_E_Ee_(2009_Tamil_film),Jayamkondaan,Arumugam_(film),Innanu_Aa_Kalyanam,Villagelo_Vinayakudu,Nadakame_Ulakam,Panchamirtham_(film)"
"454","Saranya Nag","","","",Na,"Film actress","Peranmai,10th_Class,Rettai_Vaalu"
"455","Saranya Ponvannan","","","26-04-1970",Na,"","Pidichirukku,Pandi_(film),Thenmerku_Paruvakaatru,Adhu,Dindigul_Sarathy,Raam_(2005_film),Andru_Peytha_Mazhaiyil,Karunguyil_Kundram,Nayakan_(1987_film),Kuruvi,Puli_Varudhu,Adaikalam,Thenavattu,Karuththamma,Vaanam,Magrib_(film),Sivakasi_(film),Thirumagan,Artham,Dasarathan,Sivapputhaali,Vedam_(film),Emmtan-Magan,Yavarum_Nalam,Thavamai_Thavamirundhu,Guru_Sishyan_(2010_film),Manasukkul_Mathappu,Ulagam_Pirandhadhu_Enakkaga,Aadarsham_(1993_film),Aakasha_Kottayile_Sultan,Kottai_Vaasal,Sahasam_(1992_film),Cheppukilukkana_Changathi"
"456","Sarath Babu","","","",Na,"Actor","Annamalai_(film),Netrikkann,Velaikaran,Ankuram,Velli_Thirai,Nizhal_Nijamagiradhu,Kanchana_Ganga,Metti_(film),Sravanthi,Idi_Katha_Kaadu,Andru_Peytha_Mazhaiyil,Bala_Nagamma_(1981_film),Kalvanin_Kadhali_(2006_film),Parijatham,Radha_Kalyanam,Abhinandana,Nenu_Premisthunnanu,Puthiya_Aatchi,Kannukku_Mai_Ezhuthu,Mudivalla_Arambam,Ponnagaram,Swati_(1984_film),Kannadi_Pookal,Nuvvu_Leka_Nenu_Lenu,Thendral_Sudum,Panthulamma,Annayya_(2000_film),Uyirodu_Uyiraga,Perarasu_(film),Manasu_Palike_Mouna_Raagam,Sitaara,Vatathukkul_Chadhuram,Pelleedu_Pillalu,Michael_Raj,Guppedu_Manasu,Nool_Veli,Baba_Sathya_Sai,Eera_Vizhi_Kaaviyangal,Pagal_Nilavu,Malayan_(film),Manasukkul_Mathappu,Kanavugal_Karpanaigal,Azagu,Janumadatha,Ranachandi,Manikantana_Mahime,Imaigal,Keezh_Vaanam_Sivakkum,Devi_Dharisanam,Mannan_Magal_(TV_series),Muthu_(1995_film),Chiranjeevi_(1984_film),Kannil_Theriyum_Kathaikal"
"457","Saritha","","Saritha","",Na,"Film actress","Vedham_Pudhithu,Netrikkann,Puthukavithai,Sivappu_Sooriyan,Thappida_Thala,Agni_Sakshi_(1982_film),Kanchana_Ganga,Sujatha_(1980_film),Komberi_Mookan,Anjatha_Nenjangal,Saattai_Illatha_Pambaram,Thaniyavarthanam,Dharmam,Enga_Ooru_Kannagi,Kalyana_Agathigal,Rusi_Kanda_Poonai,Veli_(film),Julie_Ganapathi,Kokilamma,Malaya_Marutha,Sandarbham,June_R,Kuttettan,Ceylon_(film),Malaiyoor_Mambattiyan,Guppedu_Manasu,Nool_Veli,Sangham_(1988_film),Bhakta_Prahlada_(1983_film),Muhurtham_Pathnonnu_Muppathinu,Koyil_Puraa,Imaigal,Keezh_Vaanam_Sivakkum,Uyirullavarai_Usha,Thunai,Raasave_Unnai_Nambi,Kanikanum_Neram,Onnum_Onnum_Pathinonnu,Kurukshetra_(1987_film),Oru_Kochukatha_Aarum_Parayatha_Katha,Minimol_Vathicanil,Iru_Medhaigal,Uravai_Kaatha_Kili,Balondu_Bhavageethe,Sugamana_Raagangal,Jeevakke_Jeeva,Ponnu_Oorukku_Pudhusu"
"458","Sathish","","","",Na,"","Tamizhuku_En_Ondrai_Azhuthavum"
"459","Sathyan (Tamil actor)","","Sathyan Sivakumar","11/6/1975",Na,"","Ilaiyavan,Palaivana_Solai_(2009_film)"
"460","Sathyaraj","","Rangaraj","",Na,"","Muthal_Mariyathai,Vedham_Pudhithu,Moondru_Mugam,Mr._Bharath,Naan_Sigappu_Manithan_(1985_film),Vandicholai_Chinraasu,Dravidan_(1989_film),Kaakki_Sattai,Kadamai_Kanniyam_Kattupaadu,Mangamma_Sapatham_(1985_film),Pagadai_Panirendu,Aalukkoru_Aasai,Baahubali,Nagaraja_Cholan_MA,_MLA,Geethanjali_(1985_film),Poojai,Mirchi_(film),Kadalora_Kavithaigal,Adi_Thadi,Anjatha_Singam,Annakili_Sonna_Kathai,Arthamulla_Aasaigal,Eetti_(1985_film),Vikram_(1986_Tamil_film),Airport_(1993_film),Irandu_Mugam,Bramma,Chinna_Thambi_Periya_Thambi,Chinnappadass,Dharmam,Madurai_Veeran_Enga_Saami,Makkal_En_Pakkam,Mandhira_Punnagai_(1986_film),Nadigan,Pangali,Pick_Pocket_(1989_film),Rickshaw_Mama,Thozhar_Pandian,Vaathiyaar_Veettu_Pillai,Velai_Kidaichuduchu,Sigaram_Thodu,Kalavaram,Puratchikkaaran,Veli_(film),Vidinja_Kalyanam,Varuthapadatha_Valibar_Sangam,Onbadhu_Roobai_Nottu,Thangam,6'2,Asathal,Englishkaran,Iyer_IPS,Kunguma_Pottu_Gounder,Maha_Nadigan,Vetrivel_Sakthivel,Nooravathu_Naal,Uchithanai_Muharnthaal,Sound_Party,En_Bommukutty_Ammavukku,Aayiram_Vilakku,Veera_Padhakkam,Japanil_Kalyanaraman,Pagaivan,Vanakkam_Thalaiva,Kovai_Brothers,Magudam,Kalyana_Galatta,Muthal_Vasantham,Vallal,Kattalai_(film),Sattapadi_Kutram,Ponnu_Veetukkaran,Annai_Bhoomi_3D,Lailaa_O_Lailaa,Vambu_Sandai,Kannamoochi_Yenada,Aagathan,Gowravargal,24_Mani_Neram,January_1_(1984_film),Pollachi_Mappillai,Pagal_Nilavu,Marudhanayagam,Amaidhi_Padai,Thaai_Naadu,Naan_Mahaan_Alla_(1984_film),Guru_Sishyan_(2010_film),Kurukshetram_(2006_film),Naalai_Unathu_Naal,Ulagam_Pirandhadhu_Enakkaga,Maaman_Magal_(1995_film),Hitler_Umanath,Muthukkal_Moondru,Periyar_(2007_film),Karimedu_Karuvayan,Enakkul_Oruvan_(1984_film),Bramhotsavam"
"461","Savitri (actress)","26-12-1981","Savitri Nissankara","6/12/1933",Na,"","Nartanasala,Pandava_Vanavasam,Parisu,Vettaikaaran_(1964_film),Andharangam,Paadha_Kannikkai,Pasamalar,Pooja_(1975_film),Aadarsa_Kutumbam,Gomathiyin_Kaadhalan,Mangalya_Balam,Manushulu_Mamathalu,Siri_Sampadalu,Thiruvilaiyadal,Aradhana_(1962_film),Amar_Deep_(1979_film),Devadasu_(1953_film),Bratuku_Teruvu,Navaratri_(1966_film),Samsaram_(1950_film),Ummadi_Kutumbam,Manchi_Manasulu,Ardhangi,Káthirunda_Kangal,Pooja_Phalam,Vadina,Chuzhi,Navarathri_(1964_film),Gundamma_Katha,Karnan_(film),Parivartana,Punadhirallu,Kappalottiya_Thamizhan,Bandhavyalu,Mooga_Manasulu,Palletooru,Bhale_Ramudu,Kodalu_Diddina_Kapuram,Rakta_Sambandham_(1962_film),Vallavanukku_Vallavan,Kai_Koduttha_Dheivam,Appu_Chesi_Pappu_Koodu,Donga_Ramudu,Sri_Venkateswara_Mahatyam,Thodi_Kodallu,Varakatnam,Chaduvukunna_Ammayilu,Pelli_Chesi_Choodu,Velugu_Needalu,Paarthaal_Pasi_Theerum,Padithaal_Mattum_Podhuma,Mahadhevi,Devata_(1964_film),Konjum_Salangai,Saraswati_Sabatham,Nammina_Bantu,Annaiyin_Aanai,Kaathavaraayan,Kuravanji,Padhi_Bhakti,Pennin_Perumai,Kalathur_Kannamma,M.L.A._(film),Amara_Deepam_(1956_film),Pava_Mannippu,Chandraharam,Kanyasulkam_(film),Gorintaku_(1979_film),Vanangamudi,Doctor_Chakravarti,Bandha_Pasam,Praptham,Ratha_Thilagam,Thiruvarutchelvar,Ghar_Basake_Dekho"
"462","Sayaji Shinde","","","",Na,"Actor,Film producer","Shool,Andhrawala,Devadasu_(2006_film),Tagore_(film),Bharathi_(film),Viyyalavari_Kayyalu,Padikkadavan_(2009_film),Vaitheeswaran,Shegavicha_Rana_Gajanan,Solo_(2011_film),Athadu,Mr._Perfect_(film),Durga_(2002_film),Ontari_(film),Sudesi,Endukante..._Premanta!,Veedu_Theda,Yuvatha,Krishna_(2008_film),Vettaikaaran_(2009_film),Baanam,Darmiyaan:_In_Between,Thee_(2009_film),Shankar_Dada_Zindabad,Daman_(film),Chaahat_–_Ek_Nasha,Sri_Mahalakshmi,Kick_(2009_film),Arundhati_(2009_film),Veede,Seema_Tapakai,Yamudiki_Mogudu_(2012_film),Andhrudu,Adharm_(2006_film),Bumper_Offer,My_Friend_Ganesha_3,Chaahat_%E2%80%93_Ek_Nasha,Satyameva_Jayate_(film),Lakshmi_Kalyanam_(2007_film),Lal_Salaam_(2002_film),Fitting_Master"
"463","Sayali Bhagat","","Sayali Bhagat","1/1/1984",Na,"","Good_Luck!,This_Weekend_(film),Impatient_Vivek,Ghost_(2012_film),The_Train_(2007_film),Newtonin_Moondram_Vidhi"
"464","Seema (actress)","","Shanthakumari","22-05-1957",Na,"Film actress","Onnanu_Nammal,Eeta,Gandhinagar_2nd_Street,Nanayam,Paadha_Mudra,Kanamarayathu,Sphodanam,Enga_Ooru_Kannagi,Kalyana_Agathigal,Thushaaram,Ayalvasi_Oru_Daridravasi,Adiyozhukkukal,Mahayanam,Aalkkoottathil_Thaniye,Sandhyakku_Virinja_Poovu,Adimakal_Udamakal,Sandarbham,Pagalil_Oru_Iravu,Anubandham,Oru_Kochu_Swapnam,Sangham_(1988_film),Karimpinpoovinakkare,1921_(film),Mattoral,Vicharana,Maniyara,Maanyamahaajanangale,Ee_Kaikalil,Deepam_(film),Akalangalil,Kaahalam,Lakshmana_Rekha_(film),Ivide_Ingane,Sandyakkenthinu_Sindhooram,Nilaavinte_Naattil,Chambalkadu,Gaayathridevi_Ente_Amma,Nishedhi,Ayitham,Radhayude_Kamukan,Karimbu,Deepaaradhana,Aaroodam,Theenalangal,Kaattu_Kallan,Rahasyam_Parama_Rahasyam,Thadavara,Greeshma_Jwala,Ivar_(1980_film),Angam_(1983_film),Idanilangal,Aarathi_(film),Puthariyankam,Vanitha_Police,Ente_Shabdham,Enikkum_Oru_Divasam"
"465","Seetha (actress)","","","13-07-1964",Na,"Actor,Film producer","Guru_Sishyan_(1988_film),Unnal_Mudiyum_Thambi,Aayiram_Pookkal_Malarattum,Annanukku_Jai,Ore_Ratham,Amma_Pillai,Aval_Mella_Sirithal,Viyabari,Aadi_Velli,Vaana_(film),Kaivantha_Kalai,Mallikarjuna_(film),Pudhea_Paadhai,Praanam,Rightaa_Thappaa,Vettaiyaadu_Vilaiyaadu_(1989_film),Thangachi,Kadhal_Enum_Nadhiyinile,Oru_Small_Family,Manasukketha_Maharasa,Sevvel,Penmani_Aval_Kanmani,Tommy_(2015_film),En_Vazhi_Thani_Vazhi_(2015_film),Chaduvukovali,Shankar_Guru_(1987_film)"
"466","Senthil (actor)","","","23-03-1951",Na,"","Ejamaan,Veera_(1994_film),December_Pookal,Naam_Iruvar_Namakku_Iruvar,Thaye_Neeye_Thunai,Athaimadi_Methaiadi,Ilamai_Kaalangal,Lucky_Man_(film),Muthukulikka_Vaariyala,Raja_Enga_Raja,Anbu_Kattalai,Rajathi_Rojakili,Chinna_Gounder,Vaidehi_Kathirunthal,Thotta_Chinungi,Natpukkaga,Rajakumaran_(film),Coolie_(1995_film),Maanagara_Kaaval,Veera_Padhakkam,Rettai_Jadai_Vayasu,Pudhayal,Malaiyoor_Mambattiyan,Band_Master,Kan_Simittum_Neram,Karnaa,Senthamizh_Selvan,Aankalai_Nambathey,Hello_(1999_film),Ore_Oru_Gramathiley,Sir...I_Love_You,Lakshmi_Vandhachu,Karimedu_Karuvayan,Ore_Oru_Gramathile,Gentleman_(1993_film),Selvi_(film)"
"467","Shaam","","Shamshuddin Ibrahim","4/4/1977",Na,"Film actor,Model (person)","12B,Thillalangadi,Ullam_Ketkumae,Anthony_Yaar%3F,Tananam_Tananam,Kalyanram_Kathi,Bala_(2002_film),Anbe_Anbe,Girivalam,Yai_Nee_Romba_Azhaga_Irukey,Oosaravelli,Kshetram_(film),Race_Gurram,Action_3D,6_(film),Iyarkai,Kick_(2009_film),Thoondil,ABCD_(film),Manathodu_Mazhaikalam,Agam_Puram,Inba_(film),Kodai_Vidumurai,Purampokku_Engira_Podhuvudamai"
"468","Shaji (writer)","","","",Na,"","Onaayum_Aattukkuttiyum"
"469","Shakeela","","C. Shakeela Begum","",Na,"","Dongodu,Kinnara_Thumbikal"
"470","Shakthi Vasudevan","","Prashanth Vasudevan","23-02-1983",Na,"","Etho_Seithai_Ennai,Ninaithale_Inikkum_(2009_film)"
"471","Shalini Kumar","","","",Na,"Actress","Sirai_Paravai"
"472","Shamili","","","10/7/1987",Na,"Actress","Harikrishnans,Malootty,Oye!_(film),Killer_(1992_film)"
"473","Shamita Shetty","","","",Na,"Actress,Model (person),Interior design","Raajjiyam,Zeher,Cash_(2007_film),Mohabbat_Ho_Gayi_Hai_Tumse,Mohabbatein,Fareb_(2005_film),Bewafaa_(2005_film)"
"474","Shammu","","Sheerin Ramalingam","",Na,"Actress","Paalai,Mayilu,Kanden_Kadhalai,Kanchivaram,Malayan_(film)"
"475","Shamna Kasim","","Shamna Kasim","23-05-1989",Na,"","Nuvvala_Nenila,Bhargavacharitham_Moonam_Khandam,Aaru_Sundarimaarude_Katha,Avunu_(film),Aadu_Puli,Chattakkari_(2012_film),Avunu_2"
"476","Shankar Panicker","","Shankar","13-09-1960",Na,"","Ee_Vazhi_Mathram,Ente_Kalithozhan,Anuraagakkodathi,Piriyilla_Naam,Thirakkil_Alppa_Samayam,Anthichuvappu,Chekkeranoru_Chilla,Oppam_Oppathinoppam,Kattu_Rani,Aranjaanam,Ithu_Ente_Neethi,Samrambham,Himam,Mouna_Raagam_(1983_film),Nimishangal,Ponnum_Kudthinu_Pottu,Ponnum_Kudathinum_Pottu,Paavam_Krooran,Thimingalam,Muthodumuthu,Eettappuli,Archana_Aaradhana,Saandham_Bheekaram,Naale_Njangalude_Vivaham,Engane_Nee_Marakkum,Onningu_Vannengil,Amme_Bhagavathi,Umaanilayam,Mukhyamanthri,Scene_No._7,Kadathu,Ajantha_(1987_film),Veendum_Chalikkunna_Chakram,Aashamsakalode,Guha_(film),Aarodum_Parayaruthu,Bhadra_(2001_film),Sravu,Sammelanam,Oru_Kudakeezhil,Onnaam_Maanam_Poomaanam,Ashtabandham"
"477","Shanthanu Bhagyaraj","","","24-08-1986",Na,"","Vaaimai"
"478","Shanthi Krishna","","","",Na,"Actress","Nayam_Vyakthamakkunnu,Anbulla_Malare,Laali,Avittam_Thirunaal_Aarogya_Sriman,Mahanagaram,Manal_Kayiru,Chakoram,Maya_Mayooram,Maniyara,Swapnalokum,Vishnulokam,Eenam,Chillu,April_19_(film),Nidra_(1981_film),Saagaram_Santham,Tharattu,Varanamalyam"
"479","Sharada (actress)","","Saraswati Devi","12/6/1945",Na,"","Mr._Bharath,Ondu_Premada_Kathe,Daana_Veera_Soora_Karna,Thiruvonam_(film),Murappennu,Thriveni,Manikyakottaram,Kattuthulasi,Cross_Belt,Thara_(film),Major_Chandrakanth_(1993_film),Taxi_Driver_(1977_film),Manavudu_Danavudu,Manushulu_Marali,Mazhathullikkilukkam,Thulabharam,Ninaithadhai_Mudippavan,Yaar_Meri_Zindagi,Swati_(1984_film),Sthree_(1970_film),Yakshi_(film),Aabhijathyam,Adimakal,Archana_(film),Bhadradeepam,Brahmachari_(1972_film),Chithramela,Eanippadikal,Kanmanikal,Kasavuthattam,Kavalam_Chundan_(film),Mooladhanam,Navavadhu,Pakalkkinavu,Panchavan_Kaadu,Pearl_View,Rajamalli,Soosi,Thekkan_Kattu,Thilothama,Udhyogastha,Velliyazhcha,Kondaveeti_Donga,Sukumarudu,Sharada_(1973_film),Nyayam_Kavali,Chelleli_Kapuram,Kalam_Marindi,Agni_Parvatam,Bobbili_Brahmanna,Mannu,Kalikaalam,Adavi_Donga,Iruttinte_Athmavu,Karthika_Deepam_(film),Nimajjanam,Elippathayam,Naayika,Jail_(1966_film),Asuravithu_(1968_film),Raraju,Jeevitha_Chakram,Amma_Rajinama,Kungumam_(film),Oru_Minnaminunginte_Nurunguvettam,Agni_Pareeksha_(1968_film),State_Rowdy,Gorintaku_(1979_film),Mother_India_(1992_film),Balipeetam,Raagam,Kakkathamburatti,Society_Lady,Anweshanam_(film),Kattukurangu,Sree_Guruvayoorappan_(1972_film),Murali_Krishna_(film),Sarithira_Nayagan,Jagannatakam,Maattoly,Coolie_No._1_(1991_film),Anguram,Mindapennu,Raghuvamsham_(film),Randu_Lokam,Ente_Gramam,Nizhal_Moodiya_Nirangal,Nadhi_(film),Vishukkani,Ponmudy_(film),Kadal_(1968_film),Janani_Janmabhoomi,Jwala_(1969_film),Sundarimaarude_Swapnangal,Theerthayathra,Rowdy_Ramu,Ivar_(1980_film),Vilakuranja_Manushyan,Hotel_High_Range,Ennai_Pol_Oruvan,Ward_No.7,Veettumrugam,Ambalapravu,Kuttavali,Abhimaanam,Amrithavaahini,Gandharavakshetram,Itha_Ivide_Vare,Anasuyamma_Gari_Alludu,Maaya_(film),Killer_(1992_film)"
"480","Sharbani Mukherjee","","","",Na,"Actress","Aanch,Raakilipattu,332_Mumbai_to_India,Aathmakatha,Kaise_Kahoon_Ke..._Pyaar_Hai,Snegithiye"
"481","Sharmiela Mandre","","","28-10-1989",Na,"","Kevvu_Keka"
"482","Shazahn Padamsee","","","",Na,"","Kanimozhi_(film),Masala_(2013_film),Orange_(2010_film),Dil_Toh_Baccha_Hai_Ji"
